ELECTION_DATE,ELECTION_NAME,COUNTY_ID,COUNTY_NAME,BALLOT_MEASURE_ID,BALLOT_MEASURE_NAME,BALLOT_MEASURE_TITLE,YES_COUNT,NO_COUNT
11/08/2016,2016 Presidential General,3,Amador,66,Proposition 66,Death Penalty Procedure Time Limits,"9,502","7,477"
11/08/2016,2016 Presidential General,3,Amador,67,Proposition 67,Ban on Single-use Plastic Bags,"6,572","11,082"
11/08/2016,2016 Presidential General,4,Butte,51,Proposition 51,K-12 and Community College Facilities,"47,658","45,420"
11/08/2016,2016 Presidential General,4,Butte,52,Proposition 52,Medi-Cal Hospital Fee Program,"63,181","28,790"
11/08/2016,2016 Presidential General,4,Butte,53,Proposition 53,Voter Approval of Revenue Bonds,"48,918","41,380"
11/08/2016,2016 Presidential General,4,Butte,54,Proposition 54,Legislative Procedure Requirements,"61,353","29,754"
11/08/2016,2016 Presidential General,4,Butte,55,Proposition 55,Tax Extension for Education and Healthcare,"55,286","37,637"
11/08/2016,2016 Presidential General,4,Butte,56,Proposition 56,Cigarette Tax,"49,566","46,110"
11/08/2016,2016 Presidential General,4,Butte,57,Proposition 57,Criminal Sentences & Juvenile Crime Proceedings,"53,534","40,077"
11/08/2016,2016 Presidential General,4,Butte,58,Proposition 58,English Proficiency. Multilingual Education.,"64,490","28,612"
11/08/2016,2016 Presidential General,4,Butte,59,Proposition 59,Corporate Political Spending Advisory Question,"44,846","43,554"
11/08/2016,2016 Presidential General,4,Butte,60,Proposition 60,Adult Film Condom Requirements,"34,112","56,823"
11/08/2016,2016 Presidential General,4,Butte,61,Proposition 61,State Prescription Drug Purchase Standards,"34,153","57,104"
11/08/2016,2016 Presidential General,4,Butte,62,Proposition 62,Repeal of Death Penalty,"36,322","57,078"
11/08/2016,2016 Presidential General,4,Butte,63,Proposition 63,Firearms and Ammunition Sales,"39,619","54,611"
11/08/2016,2016 Presidential General,4,Butte,64,Proposition 64,Marijuana Legalization,"51,034","44,697"
11/08/2016,2016 Presidential General,4,Butte,65,Proposition 65,Carryout Bag Charges,"41,067","51,364"
11/08/2016,2016 Presidential General,4,Butte,66,Proposition 66,Death Penalty Procedure Time Limits,"48,592","40,289"
11/08/2016,2016 Presidential General,4,Butte,67,Proposition 67,Ban on Single-use Plastic Bags,"46,666","47,356"
11/08/2016,2016 Presidential General,5,Calaveras,51,Proposition 51,K-12 and Community College Facilities,"9,060","13,578"
11/08/2016,2016 Presidential General,5,Calaveras,52,Proposition 52,Medi-Cal Hospital Fee Program,"13,458","8,945"
11/08/2016,2016 Presidential General,5,Calaveras,53,Proposition 53,Voter Approval of Revenue Bonds,"12,499","9,687"
11/08/2016,2016 Presidential General,5,Calaveras,54,Proposition 54,Legislative Procedure Requirements,"14,666","7,631"
11/08/2016,2016 Presidential General,5,Calaveras,55,Proposition 55,Tax Extension for Education and Healthcare,"12,113","10,508"
11/08/2016,2016 Presidential General,5,Calaveras,56,Proposition 56,Cigarette Tax,"10,250","12,991"
11/08/2016,2016 Presidential General,5,Calaveras,57,Proposition 57,Criminal Sentences & Juvenile Crime Proceedings,"12,118","10,676"
11/08/2016,2016 Presidential General,5,Calaveras,58,Proposition 58,English Proficiency. Multilingual Education.,"14,636","8,142"
11/08/2016,2016 Presidential General,5,Calaveras,59,Proposition 59,Corporate Political Spending Advisory Question,"9,491","12,269"
11/08/2016,2016 Presidential General,5,Calaveras,60,Proposition 60,Adult Film Condom Requirements,"8,748","13,417"
11/08/2016,2016 Presidential General,5,Calaveras,61,Proposition 61,State Prescription Drug Purchase Standards,"8,048","14,652"
11/08/2016,2016 Presidential General,5,Calaveras,62,Proposition 62,Repeal of Death Penalty,"6,488","16,313"
11/08/2016,2016 Presidential General,5,Calaveras,63,Proposition 63,Firearms and Ammunition Sales,"7,728","15,448"
11/08/2016,2016 Presidential General,5,Calaveras,64,Proposition 64,Marijuana Legalization,"11,114","12,341"
11/08/2016,2016 Presidential General,5,Calaveras,65,Proposition 65,Carryout Bag Charges,"7,819","14,853"
11/08/2016,2016 Presidential General,5,Calaveras,66,Proposition 66,Death Penalty Procedure Time Limits,"13,255","8,800"
11/08/2016,2016 Presidential General,5,Calaveras,67,Proposition 67,Ban on Single-use Plastic Bags,"8,931","14,061"
11/08/2016,2016 Presidential General,6,Colusa,51,Proposition 51,K-12 and Community College Facilities,"3,010","3,486"
11/08/2016,2016 Presidential General,6,Colusa,52,Proposition 52,Medi-Cal Hospital Fee Program,"3,766","2,654"
11/08/2016,2016 Presidential General,6,Colusa,53,Proposition 53,Voter Approval of Revenue Bonds,"3,435","2,945"
11/08/2016,2016 Presidential General,6,Colusa,54,Proposition 54,Legislative Procedure Requirements,"3,877","2,475"
11/08/2016,2016 Presidential General,6,Colusa,55,Proposition 55,Tax Extension for Education and Healthcare,"3,289","3,157"
11/08/2016,2016 Presidential General,6,Colusa,56,Proposition 56,Cigarette Tax,"3,212","3,359"
11/08/2016,2016 Presidential General,6,Colusa,57,Proposition 57,Criminal Sentences & Juvenile Crime Proceedings,"3,128","3,353"
11/08/2016,2016 Presidential General,6,Colusa,58,Proposition 58,English Proficiency. Multilingual Education.,"4,206","2,282"
11/08/2016,2016 Presidential General,6,Colusa,59,Proposition 59,Corporate Political Spending Advisory Question,"2,263","3,995"
11/08/2016,2016 Presidential General,6,Colusa,60,Proposition 60,Adult Film Condom Requirements,"2,491","3,805"
11/08/2016,2016 Presidential General,6,Colusa,61,Proposition 61,State Prescription Drug Purchase Standards,"2,141","4,316"
11/08/2016,2016 Presidential General,6,Colusa,62,Proposition 62,Repeal of Death Penalty,"1,933","4,544"
11/08/2016,2016 Presidential General,6,Colusa,63,Proposition 63,Firearms and Ammunition Sales,"2,420","4,140"
11/08/2016,2016 Presidential General,6,Colusa,64,Proposition 64,Marijuana Legalization,"2,858","3,675"
11/08/2016,2016 Presidential General,6,Colusa,65,Proposition 65,Carryout Bag Charges,"2,179","4,214"
11/08/2016,2016 Presidential General,6,Colusa,66,Proposition 66,Death Penalty Procedure Time Limits,"3,409","2,834"
11/08/2016,2016 Presidential General,6,Colusa,67,Proposition 67,Ban on Single-use Plastic Bags,"2,189","4,231"
11/08/2016,2016 Presidential General,7,Contra Costa,51,Proposition 51,K-12 and Community College Facilities,"253,389","200,091"
11/08/2016,2016 Presidential General,7,Contra Costa,52,Proposition 52,Medi-Cal Hospital Fee Program,"315,435","133,026"
11/08/2016,2016 Presidential General,7,Contra Costa,53,Proposition 53,Voter Approval of Revenue Bonds,"202,237","240,321"
11/08/2016,2016 Presidential General,7,Contra Costa,54,Proposition 54,Legislative Procedure Requirements,"278,107","163,890"
11/08/2016,2016 Presidential General,7,Contra Costa,55,Proposition 55,Tax Extension for Education and Healthcare,"291,824","161,760"
11/08/2016,2016 Presidential General,7,Contra Costa,56,Proposition 56,Cigarette Tax,"319,269","144,498"
11/08/2016,2016 Presidential General,7,Contra Costa,57,Proposition 57,Criminal Sentences & Juvenile Crime Proceedings,"311,352","138,363"
11/08/2016,2016 Presidential General,7,Contra Costa,58,Proposition 58,English Proficiency. Multilingual Education.,"340,013","107,062"
11/08/2016,2016 Presidential General,7,Contra Costa,59,Proposition 59,Corporate Political Spending Advisory Question,"245,794","179,953"
11/08/2016,2016 Presidential General,7,Contra Costa,60,Proposition 60,Adult Film Condom Requirements,"189,007","246,343"
11/08/2016,2016 Presidential General,7,Contra Costa,61,Proposition 61,State Prescription Drug Purchase Standards,"227,285","215,815"
11/08/2016,2016 Presidential General,7,Contra Costa,62,Proposition 62,Repeal of Death Penalty,"230,039","225,545"
11/08/2016,2016 Presidential General,7,Contra Costa,63,Proposition 63,Firearms and Ammunition Sales,"319,173","140,534"
11/08/2016,2016 Presidential General,7,Contra Costa,64,Proposition 64,Marijuana Legalization,"281,832","182,350"
11/08/2016,2016 Presidential General,7,Contra Costa,65,Proposition 65,Carryout Bag Charges,"215,564","235,857"
11/08/2016,2016 Presidential General,7,Contra Costa,66,Proposition 66,Death Penalty Procedure Time Limits,"208,825","221,586"
11/08/2016,2016 Presidential General,7,Contra Costa,67,Proposition 67,Ban on Single-use Plastic Bags,"264,671","190,246"
11/08/2016,2016 Presidential General,8,Del Norte,51,Proposition 51,K-12 and Community College Facilities,"3,985","5,139"
11/08/2016,2016 Presidential General,8,Del Norte,52,Proposition 52,Medi-Cal Hospital Fee Program,"5,170","3,979"
11/08/2016,2016 Presidential General,8,Del Norte,53,Proposition 53,Voter Approval of Revenue Bonds,"5,361","3,716"
11/08/2016,2016 Presidential General,8,Del Norte,54,Proposition 54,Legislative Procedure Requirements,"5,938","3,092"
11/08/2016,2016 Presidential General,8,Del Norte,55,Proposition 55,Tax Extension for Education and Healthcare,"5,137","4,049"
11/08/2016,2016 Presidential General,8,Del Norte,56,Proposition 56,Cigarette Tax,"4,553","5,018"
11/08/2016,2016 Presidential General,8,Del Norte,57,Proposition 57,Criminal Sentences & Juvenile Crime Proceedings,"4,651","4,741"
11/08/2016,2016 Presidential General,8,Del Norte,58,Proposition 58,English Proficiency. Multilingual Education.,"6,062","3,288"
11/08/2016,2016 Presidential General,8,Del Norte,59,Proposition 59,Corporate Political Spending Advisory Question,"4,138","4,859"
11/08/2016,2016 Presidential General,8,Del Norte,60,Proposition 60,Adult Film Condom Requirements,"3,694","5,163"
11/08/2016,2016 Presidential General,8,Del Norte,61,Proposition 61,State Prescription Drug Purchase Standards,"3,981","5,162"
11/08/2016,2016 Presidential General,8,Del Norte,62,Proposition 62,Repeal of Death Penalty,"2,978","6,353"
11/08/2016,2016 Presidential General,8,Del Norte,63,Proposition 63,Firearms and Ammunition Sales,"3,129","6,375"
11/08/2016,2016 Presidential General,8,Del Norte,64,Proposition 64,Marijuana Legalization,"5,674","3,863"
11/08/2016,2016 Presidential General,8,Del Norte,65,Proposition 65,Carryout Bag Charges,"3,935","5,372"
11/08/2016,2016 Presidential General,8,Del Norte,66,Proposition 66,Death Penalty Procedure Time Limits,"5,266","3,787"
11/08/2016,2016 Presidential General,8,Del Norte,67,Proposition 67,Ban on Single-use Plastic Bags,"3,951","5,459"
11/08/2016,2016 Presidential General,9,El Dorado,51,Proposition 51,K-12 and Community College Facilities,"35,260","56,340"
11/08/2016,2016 Presidential General,9,El Dorado,52,Proposition 52,Medi-Cal Hospital Fee Program,"54,068","36,447"
11/08/2016,2016 Presidential General,9,El Dorado,53,Proposition 53,Voter Approval of Revenue Bonds,"50,619","38,909"
11/08/2016,2016 Presidential General,9,El Dorado,54,Proposition 54,Legislative Procedure Requirements,"58,323","31,317"
11/08/2016,2016 Presidential General,9,El Dorado,55,Proposition 55,Tax Extension for Education and Healthcare,"45,642","45,860"
11/08/2016,2016 Presidential General,9,El Dorado,56,Proposition 56,Cigarette Tax,"49,611","44,363"
11/08/2016,2016 Presidential General,9,El Dorado,57,Proposition 57,Criminal Sentences & Juvenile Crime Proceedings,"47,697","44,091"
